ENTSTATION,EXTSTATION,Fare
Silver Spring,Rosslyn,4.15
Silver Spring,Farragut North,3.75
Silver Spring,Southern Avenue,5.1
Silver Spring,West Hyattsville,2.85
Silver Spring,Congress Heights,4.9
Silver Spring,Archives-Navy Memorial-Penn Quarter,3.75
Silver Spring,Waterfront,4.1
Silver Spring,Grosvenor-Strathmore,4.95
Silver Spring,Minnesota Ave,4.65
Silver Spring,Braddock Road,5.65
Silver Spring,East Falls Church,5.3
Silver Spring,Capitol South,4.05
Silver Spring,Naylor Road,5.25
Silver Spring,Van Dorn Street,6.0
Silver Spring,Cleveland Park,3.8
Silver Spring,Court House,4.4
Silver Spring,Arlington Cemetery,4.35
Silver Spring,Mt Vernon Sq 7th St-Convention Center,3.45
Silver Spring,Pentagon,4.4
Silver Spring,Branch Ave,6.0
Silver Spring,Potomac Ave,4.3
Silver Spring,Union Station,3.5
Silver Spring,College Park-U of Md,3.55
Silver Spring,Forest Glen,2.25
Silver Spring,Anacostia,4.5
Silver Spring,Vienna/Fairfax-GMU,6.0
Silver Spring,Largo Town Center,6.0
Silver Spring,U Street/African-Amer Civil War Memorial/Cardozo,3.25
Silver Spring,Glenmont,2.9
Silver Spring,Franconia-Springfield,6.0
Silver Spring,L'Enfant Plaza,3.9
Silver Spring,Navy Yard-Ballpark,4.2
Silver Spring,Clarendon,4.5
Silver Spring,Greenbelt,4.05
Silver Spring,NoMa-Gallaudet U,3.35
Silver Spring,McLean,6.0
Silver Spring,Woodley Park-Zoo/Adams Morgan,3.8
Silver Spring,Shaw-Howard U,3.35
Silver Spring,Federal Triangle,3.75
Silver Spring,Tysons Corner,6.0
Silver Spring,Federal Center SW,3.95
Silver Spring,New Carrollton,5.6
Silver Spring,Friendship Heights,4.1
Silver Spring,Huntington,6.0
Silver Spring,King St-Old Town,5.85
Silver Spring,Crystal City,4.7
Silver Spring,White Flint,5.3
Silver Spring,Takoma,2.25
Silver Spring,Smithsonian,3.85
Silver Spring,Bethesda,4.3
Silver Spring,Shady Grove,6.0
Silver Spring,Prince George's Plaza,3.05
Silver Spring,Dunn Loring-Merrifield,6.0
Silver Spring,Judiciary Square,3.6
Silver Spring,Stadium-Armory,4.35
Silver Spring,Gallery Pl-Chinatown,3.65
Silver Spring,Brookland-CUA,2.8
Silver Spring,Eastern Market,4.15
Silver Spring,Van Ness-UDC,3.85
Silver Spring,Capitol Heights,5.2
Silver Spring,Rockville,6.0
Silver Spring,Greensboro,6.0
Silver Spring,Rhode Island Ave-Brentwood,3.05
Silver Spring,Fort Totten,2.35
Silver Spring,West Falls Church-VT/UVA,5.7
Silver Spring,Columbia Heights,2.95
Silver Spring,Suitland,5.6
Silver Spring,Eisenhower Avenue,6.0
Silver Spring,Foggy Bottom-GWU,3.85
Silver Spring,Ballston-MU,4.75
Silver Spring,Pentagon City,4.55
Silver Spring,Metro Center,3.65
Silver Spring,Morgan Boulevard,5.75
Silver Spring,Wheaton,2.35
Silver Spring,Virginia Square-GMU,4.65
Silver Spring,Addison Road-Seat Pleasant,5.45
Silver Spring,Tenleytown-AU,4.0
Silver Spring,Deanwood,4.75
Silver Spring,Medical Center,4.45
Silver Spring,Georgia Ave-Petworth,2.7
Silver Spring,Dupont Circle,3.75
Silver Spring,McPherson Square,3.7
Silver Spring,Landover,5.3
Silver Spring,Spring Hill,6.0
Silver Spring,Ronald Reagan Washington National Airport,4.8
Silver Spring,Benning Road,4.85
Silver Spring,Farragut West,3.75
Silver Spring,Twinbrook,5.6
Silver Spring,Wiehle-Reston East,6.0
Silver Spring,Cheverly,5.0
Rosslyn,Silver Spring,4.15
Rosslyn,Farragut North,2.25
Rosslyn,Southern Avenue,3.7
Rosslyn,West Hyattsville,3.9
Rosslyn,Congress Heights,3.45
Rosslyn,Archives-Navy Memorial-Penn Quarter,2.25
Rosslyn,Waterfront,2.55
Rosslyn,Grosvenor-Strathmore,4.8
Rosslyn,Minnesota Ave,3.7
Rosslyn,Braddock Road,3.35
Rosslyn,East Falls Church,2.85
Rosslyn,Capitol South,2.65
Rosslyn,Naylor Road,3.95
Rosslyn,Van Dorn Street,4.25
Rosslyn,Cleveland Park,2.7
Rosslyn,Court House,2.25
Rosslyn,Arlington Cemetery,2.25
Rosslyn,Mt Vernon Sq 7th St-Convention Center,2.3
Rosslyn,Pentagon,2.25
Rosslyn,Branch Ave,4.8
Rosslyn,Potomac Ave,3.0
Rosslyn,Union Station,2.5
Rosslyn,College Park-U of Md,4.75
Rosslyn,Forest Glen,4.55
Rosslyn,Anacostia,3.1
Rosslyn,Vienna/Fairfax-GMU,4.8
Rosslyn,Largo Town Center,5.35
Rosslyn,U Street/African-Amer Civil War Memorial/Cardozo,2.45
Rosslyn,Glenmont,5.5
Rosslyn,Franconia-Springfield,5.2
Rosslyn,L'Enfant Plaza,2.35
Rosslyn,Navy Yard-Ballpark,2.75
Rosslyn,Clarendon,2.25
Rosslyn,Greenbelt,5.4
Rosslyn,NoMa-Gallaudet U,2.65
Rosslyn,McLean,4.05
Rosslyn,Woodley Park-Zoo/Adams Morgan,2.5
Rosslyn,Shaw-Howard U,2.4
Rosslyn,Federal Triangle,2.25
Rosslyn,Tysons Corner,4.2
Rosslyn,Federal Center SW,2.45
Rosslyn,New Carrollton,5.15
Rosslyn,Friendship Heights,3.35
Rosslyn,Huntington,3.8
Rosslyn,King St-Old Town,3.5
Rosslyn,Crystal City,2.3
Rosslyn,White Flint,5.2
Rosslyn,Takoma,3.8
Rosslyn,Smithsonian,2.25
Rosslyn,Bethesda,3.85
Rosslyn,Shady Grove,6.0
Rosslyn,Prince George's Plaza,4.2
Rosslyn,Dunn Loring-Merrifield,4.1
Rosslyn,Judiciary Square,2.3
Rosslyn,Stadium-Armory,3.2
Rosslyn,Gallery Pl-Chinatown,2.25
Rosslyn,Brookland-CUA,3.15
Rosslyn,Eastern Market,2.8
Rosslyn,Van Ness-UDC,2.85
Rosslyn,Capitol Heights,4.25
Rosslyn,Rockville,6.0
Rosslyn,Greensboro,4.4
Rosslyn,Rhode Island Ave-Brentwood,2.9
Rosslyn,Fort Totten,3.4
Rosslyn,West Falls Church-VT/UVA,3.45
Rosslyn,Columbia Heights,2.65
Rosslyn,Suitland,4.35
Rosslyn,Eisenhower Avenue,3.7
Rosslyn,Foggy Bottom-GWU,2.25
Rosslyn,Ballston-MU,2.25
Rosslyn,Pentagon City,2.25
Rosslyn,Metro Center,2.25
Rosslyn,Morgan Boulevard,4.95
Rosslyn,Wheaton,5.0
Rosslyn,Virginia Square-GMU,2.25
Rosslyn,Addison Road-Seat Pleasant,4.55
Rosslyn,Tenleytown-AU,3.1
Rosslyn,Deanwood,3.95
Rosslyn,Medical Center,4.15
Rosslyn,Georgia Ave-Petworth,2.9
Rosslyn,Dupont Circle,2.25
Rosslyn,McPherson Square,2.25
Rosslyn,Landover,4.75
Rosslyn,Spring Hill,4.6
Rosslyn,Ronald Reagan Washington National Airport,2.5
Rosslyn,Benning Road,3.85
Rosslyn,Farragut West,2.25
Rosslyn,Twinbrook,5.5
Rosslyn,Wiehle-Reston East,6.0
Rosslyn,Cheverly,4.25
Farragut North,Silver Spring,3.75
Farragut North,Rosslyn,2.25
Farragut North,Southern Avenue,3.3
Farragut North,West Hyattsville,3.4
Farragut North,Congress Heights,3.0
Farragut North,Archives-Navy Memorial-Penn Quarter,2.25
Farragut North,Waterfront,2.25
Farragut North,Grosvenor-Strathmore,4.3
Farragut North,Minnesota Ave,3.2
Farragut North,Braddock Road,3.7
Farragut North,East Falls Church,3.65
Farragut North,Capitol South,2.25
Farragut North,Naylor Road,3.5
Farragut North,Van Dorn Street,4.7
Farragut North,Cleveland Park,2.25
Farragut North,Court House,2.45
Farragut North,Arlington Cemetery,2.3
Farragut North,Mt Vernon Sq 7th St-Convention Center,2.25
Farragut North,Pentagon,2.35
Farragut North,Branch Ave,4.4
Farragut North,Potomac Ave,2.45
Farragut North,Union Station,2.25
Farragut North,College Park-U of Md,4.25
Farragut North,Forest Glen,4.2
Farragut North,Anacostia,2.6
Farragut North,Vienna/Fairfax-GMU,5.55
Farragut North,Largo Town Center,4.85
Farragut North,U Street/African-Amer Civil War Memorial/Cardozo,2.25
Farragut North,Glenmont,5.15
Farragut North,Franconia-Springfield,5.65
Farragut North,L'Enfant Plaza,2.25
Farragut North,Navy Yard-Ballpark,2.25
Farragut North,Clarendon,2.6
Farragut North,Greenbelt,4.95
Farragut North,NoMa-Gallaudet U,2.25
Farragut North,McLean,4.75
Farragut North,Woodley Park-Zoo/Adams Morgan,2.25
Farragut North,Shaw-Howard U,2.25
Farragut North,Federal Triangle,2.25
Farragut North,Tysons Corner,4.95
Farragut North,Federal Center SW,2.25
Farragut North,New Carrollton,4.6
Farragut North,Friendship Heights,2.8
Farragut North,Huntington,4.2
Farragut North,King St-Old Town,3.9
Farragut North,Crystal City,2.7
Farragut North,White Flint,4.7
Farragut North,Takoma,3.4
Farragut North,Smithsonian,2.25
Farragut North,Bethesda,3.35
Farragut North,Shady Grove,6.0
Farragut North,Prince George's Plaza,3.7
Farragut North,Dunn Loring-Merrifield,4.85
Farragut North,Judiciary Square,2.25
Farragut North,Stadium-Armory,2.6
Farragut North,Gallery Pl-Chinatown,2.25
Farragut North,Brookland-CUA,2.55
Farragut North,Eastern Market,2.25
Farragut North,Van Ness-UDC,2.25
Farragut North,Capitol Heights,3.75
Farragut North,Rockville,5.55
Farragut North,Greensboro,5.15
Farragut North,Rhode Island Ave-Brentwood,2.35
Farragut North,Fort Totten,2.9
Farragut North,West Falls Church-VT/UVA,4.2
Farragut North,Columbia Heights,2.25
Farragut North,Suitland,3.9
Farragut North,Eisenhower Avenue,4.05
Farragut North,Foggy Bottom-GWU,2.25
Farragut North,Ballston-MU,2.95
Farragut North,Pentagon City,2.55
Farragut North,Metro Center,2.25
Farragut North,Morgan Boulevard,4.45
Farragut North,Wheaton,4.65
Farragut North,Virginia Square-GMU,2.75
Farragut North,Addison Road-Seat Pleasant,4.05
Farragut North,Tenleytown-AU,2.55
Farragut North,Deanwood,3.4
Farragut North,Medical Center,3.65
Farragut North,Georgia Ave-Petworth,2.4
Farragut North,Dupont Circle,2.25
Farragut North,McPherson Square,2.25
Farragut North,Landover,4.25
Farragut North,Spring Hill,5.3
Farragut North,Ronald Reagan Washington National Airport,2.85
Farragut North,Benning Road,3.35
Farragut North,Farragut West,2.25
Farragut North,Twinbrook,5.0
Farragut North,Wiehle-Reston East,6.0
Farragut North,Cheverly,3.75
Southern Avenue,Silver Spring,5.1
Southern Avenue,Rosslyn,3.7
Southern Avenue,Farragut North,3.3
Southern Avenue,West Hyattsville,4.45
Southern Avenue,Congress Heights,2.25
Southern Avenue,Archives-Navy Memorial-Penn Quarter,2.9
Southern Avenue,Waterfront,2.5
Southern Avenue,Grosvenor-Strathmore,6.0
Southern Avenue,Minnesota Ave,3.55
Southern Avenue,Braddock Road,3.9
Southern Avenue,East Falls Church,5.0
Southern Avenue,Capitol South,2.8
Southern Avenue,Naylor Road,2.25
Southern Avenue,Van Dorn Street,5.15
Southern Avenue,Cleveland Park,4.0
Southern Avenue,Court House,3.9
Southern Avenue,Arlington Cemetery,3.55
Southern Avenue,Mt Vernon Sq 7th St-Convention Center,3.15
Southern Avenue,Pentagon,3.2
Southern Avenue,Branch Ave,2.55
Southern Avenue,Potomac Ave,2.9
Southern Avenue,Union Station,3.1
Southern Avenue,College Park-U of Md,5.2
Southern Avenue,Forest Glen,5.6
Southern Avenue,Anacostia,2.25
Southern Avenue,Vienna/Fairfax-GMU,6.0
Southern Avenue,Largo Town Center,4.9
Southern Avenue,U Street/African-Amer Civil War Memorial/Cardozo,3.4
Southern Avenue,Glenmont,6.0
Southern Avenue,Franconia-Springfield,6.0
Southern Avenue,L'Enfant Plaza,2.7
Southern Avenue,Navy Yard-Ballpark,2.35
Southern Avenue,Clarendon,4.05
Southern Avenue,Greenbelt,5.9
Southern Avenue,NoMa-Gallaudet U,3.3
Southern Avenue,McLean,6.0
Southern Avenue,Woodley Park-Zoo/Adams Morgan,3.8
Southern Avenue,Shaw-Howard U,3.3
Southern Avenue,Federal Triangle,3.0
Southern Avenue,Tysons Corner,6.0
Southern Avenue,Federal Center SW,2.75
Southern Avenue,New Carrollton,5.0
Southern Avenue,Friendship Heights,4.65
Southern Avenue,Huntington,4.45
Southern Avenue,King St-Old Town,4.1
Southern Avenue,Crystal City,3.35
Southern Avenue,White Flint,6.0
Southern Avenue,Takoma,4.7
Southern Avenue,Smithsonian,2.85
Southern Avenue,Bethesda,5.15
Southern Avenue,Shady Grove,6.0
Southern Avenue,Prince George's Plaza,4.75
Southern Avenue,Dunn Loring-Merrifield,6.0
Southern Avenue,Judiciary Square,3.0
Southern Avenue,Stadium-Armory,3.05
Southern Avenue,Gallery Pl-Chinatown,3.0
Southern Avenue,Brookland-CUA,3.8
Southern Avenue,Eastern Market,2.85
Southern Avenue,Van Ness-UDC,4.15
Southern Avenue,Capitol Heights,3.9
Southern Avenue,Rockville,6.0
Southern Avenue,Greensboro,6.0
Southern Avenue,Rhode Island Ave-Brentwood,3.55
Southern Avenue,Fort Totten,4.15
Southern Avenue,West Falls Church-VT/UVA,5.55
Southern Avenue,Columbia Heights,3.65
Southern Avenue,Suitland,2.25
Southern Avenue,Eisenhower Avenue,4.3
Southern Avenue,Foggy Bottom-GWU,3.4
Southern Avenue,Ballston-MU,4.3
Southern Avenue,Pentagon City,3.3
Southern Avenue,Metro Center,3.05
Southern Avenue,Morgan Boulevard,4.55
Southern Avenue,Wheaton,6.0
Southern Avenue,Virginia Square-GMU,4.15
Southern Avenue,Addison Road-Seat Pleasant,4.1
Southern Avenue,Tenleytown-AU,4.45
Southern Avenue,Deanwood,3.8
Southern Avenue,Medical Center,5.45
Southern Avenue,Georgia Ave-Petworth,3.85
Southern Avenue,Dupont Circle,3.45
Southern Avenue,McPherson Square,3.2
Southern Avenue,Landover,4.6
Southern Avenue,Spring Hill,6.0
Southern Avenue,Ronald Reagan Washington National Airport,3.35
Southern Avenue,Benning Road,3.55
Southern Avenue,Farragut West,3.3
Southern Avenue,Twinbrook,6.0
